contig_id,cluster_id
670.concoct_part_0,9
671.concoct_part_0,1
672.concoct_part_0,1
673.concoct_part_0,1
674.concoct_part_0,4
675.concoct_part_0,1
676.concoct_part_0,1
677.concoct_part_0,1
678.concoct_part_0,1
680.concoct_part_0,9
681.concoct_part_0,1
682.concoct_part_0,9
683.concoct_part_0,1
684.concoct_part_0,9
685.concoct_part_0,7
686.concoct_part_0,1
687.concoct_part_0,1
688.concoct_part_0,9
689.concoct_part_0,1
690.concoct_part_0,1
691.concoct_part_0,1
692.concoct_part_0,1
693.concoct_part_0,1
694.concoct_part_0,1
695.concoct_part_0,4
696.concoct_part_0,9
697.concoct_part_0,1
698.concoct_part_0,1
699.concoct_part_0,1
700.concoct_part_0,4
701.concoct_part_0,7
702.concoct_part_0,9
703.concoct_part_0,1
704.concoct_part_0,9
705.concoct_part_0,1
706.concoct_part_0,1
707.concoct_part_0,1
708.concoct_part_0,1
709.concoct_part_0,1
710.concoct_part_0,1
711.concoct_part_0,1
712.concoct_part_0,1
713.concoct_part_0,1
714.concoct_part_0,1
715.concoct_part_0,1
716.concoct_part_0,9
717.concoct_part_0,4
718.concoct_part_0,4
719.concoct_part_0,1
720.concoct_part_0,1
721.concoct_part_0,1
722.concoct_part_0,1
723.concoct_part_0,9
724.concoct_part_0,1
725.concoct_part_0,1
726.concoct_part_0,4
726.concoct_part_1,4
727.concoct_part_0,1
728.concoct_part_0,1
729.concoct_part_0,9
730.concoct_part_0,4
731.concoct_part_0,1
732.concoct_part_0,9
733.concoct_part_0,1
734.concoct_part_0,9
735.concoct_part_0,1
736.concoct_part_0,1
737.concoct_part_0,1
738.concoct_part_0,11
739.concoct_part_0,1
740.concoct_part_0,9
741.concoct_part_0,9
742.concoct_part_0,9
743.concoct_part_0,11
744.concoct_part_0,1
745.concoct_part_0,1
746.concoct_part_0,9
747.concoct_part_0,1
748.concoct_part_0,1
749.concoct_part_0,1
750.concoct_part_0,1
751.concoct_part_0,9
752.concoct_part_0,1
753.concoct_part_0,9
754.concoct_part_0,1
755.concoct_part_0,9
756.concoct_part_0,9
757.concoct_part_0,9
758.concoct_part_0,1
759.concoct_part_0,1
760.concoct_part_0,1
761.concoct_part_0,1
762.concoct_part_0,9
763.concoct_part_0,1
764.concoct_part_0,9
765.concoct_part_0,1
766.concoct_part_0,9
767.concoct_part_0,1
768.concoct_part_0,1
769.concoct_part_0,9
770.concoct_part_0,9
771.concoct_part_0,9
772.concoct_part_0,9
773.concoct_part_0,1
774.concoct_part_0,9
775.concoct_part_0,4
775.concoct_part_1,4
776.concoct_part_0,1
777.concoct_part_0,9
778.concoct_part_0,10
779.concoct_part_0,1
780.concoct_part_0,1
781.concoct_part_0,1
782.concoct_part_0,1
783.concoct_part_0,7
784.concoct_part_0,1
785.concoct_part_0,1
786.concoct_part_0,1
787.concoct_part_0,1
788.concoct_part_0,1
789.concoct_part_0,1
790.concoct_part_0,9
791.concoct_part_0,1
792.concoct_part_0,1
793.concoct_part_0,1
794.concoct_part_0,1
795.concoct_part_0,9
796.concoct_part_0,4
797.concoct_part_0,2
797.concoct_part_1,1
798.concoct_part_0,9
799.concoct_part_0,9
800.concoct_part_0,1
801.concoct_part_0,1
802.concoct_part_0,6
803.concoct_part_0,7
804.concoct_part_0,1
805.concoct_part_0,1
806.concoct_part_0,1
807.concoct_part_0,9
808.concoct_part_0,1
809.concoct_part_0,1
810.concoct_part_0,9
811.concoct_part_0,9
812.concoct_part_0,9
813.concoct_part_0,1
814.concoct_part_0,1
815.concoct_part_0,1
816.concoct_part_0,9
817.concoct_part_0,9
818.concoct_part_0,4
819.concoct_part_0,6
820.concoct_part_0,1
821.concoct_part_0,1
822.concoct_part_0,1
823.concoct_part_0,1
824.concoct_part_0,1
825.concoct_part_0,9
826.concoct_part_0,1
827.concoct_part_0,1
828.concoct_part_0,9
829.concoct_part_0,9
830.concoct_part_0,4
831.concoct_part_0,9
832.concoct_part_0,9
833.concoct_part_0,13
834.concoct_part_0,1
835.concoct_part_0,1
836.concoct_part_0,4
837.concoct_part_0,4
838.concoct_part_0,9
839.concoct_part_0,1
840.concoct_part_0,1
841.concoct_part_0,1
842.concoct_part_0,1
843.concoct_part_0,9
844.concoct_part_0,9
845.concoct_part_0,1
846.concoct_part_0,7
847.concoct_part_0,1
848.concoct_part_0,1
849.concoct_part_0,9
850.concoct_part_0,1
851.concoct_part_0,9
852.concoct_part_0,9
853.concoct_part_0,1
854.concoct_part_0,13
854.concoct_part_1,12
854.concoct_part_2,12
854.concoct_part_3,12
854.concoct_part_4,12
854.concoct_part_5,12
855.concoct_part_0,1
856.concoct_part_0,1
857.concoct_part_0,1
858.concoct_part_0,1
859.concoct_part_0,6
859.concoct_part_1,6
859.concoct_part_2,6
859.concoct_part_3,6
859.concoct_part_4,6
859.concoct_part_5,6
860.concoct_part_0,7
861.concoct_part_0,1
862.concoct_part_0,1
863.concoct_part_0,1
864.concoct_part_0,1
865.concoct_part_0,1
866.concoct_part_0,1
867.concoct_part_0,1
868.concoct_part_0,1
869.concoct_part_0,9
870.concoct_part_0,7
871.concoct_part_0,1
872.concoct_part_0,9
873.concoct_part_0,1
874.concoct_part_0,1
875.concoct_part_0,1
876.concoct_part_0,1
877.concoct_part_0,9
878.concoct_part_0,9
879.concoct_part_0,1
880.concoct_part_0,1
880.concoct_part_1,1
880.concoct_part_2,1
880.concoct_part_3,1
881.concoct_part_0,1
882.concoct_part_0,1
883.concoct_part_0,9
884.concoct_part_0,1
885.concoct_part_0,1
886.concoct_part_0,1
887.concoct_part_0,9
888.concoct_part_0,9
889.concoct_part_0,1
890.concoct_part_0,1
891.concoct_part_0,9
892.concoct_part_0,1
893.concoct_part_0,1
894.concoct_part_0,2
895.concoct_part_0,1
896.concoct_part_0,1
897.concoct_part_0,1
898.concoct_part_0,1
899.concoct_part_0,1
900.concoct_part_0,7
901.concoct_part_0,1
902.concoct_part_0,9
903.concoct_part_0,7
904.concoct_part_0,1
905.concoct_part_0,1
906.concoct_part_0,9
907.concoct_part_0,4
908.concoct_part_0,1
909.concoct_part_0,1
910.concoct_part_0,1
911.concoct_part_0,13
912.concoct_part_0,9
913.concoct_part_0,7
914.concoct_part_0,9
915.concoct_part_0,1
916.concoct_part_0,7
917.concoct_part_0,4
918.concoct_part_0,1
919.concoct_part_0,1
919.concoct_part_1,1
919.concoct_part_2,1
919.concoct_part_3,1
919.concoct_part_4,1
920.concoct_part_0,1
921.concoct_part_0,4
922.concoct_part_0,9
923.concoct_part_0,1
924.concoct_part_0,1
925.concoct_part_0,1
926.concoct_part_0,1
927.concoct_part_0,1
928.concoct_part_0,9
929.concoct_part_0,1
930.concoct_part_0,7
931.concoct_part_0,1
932.concoct_part_0,1
933.concoct_part_0,1
934.concoct_part_0,9
935.concoct_part_0,7
936.concoct_part_0,1
937.concoct_part_0,1
938.concoct_part_0,1
939.concoct_part_0,9
940.concoct_part_0,1
941.concoct_part_0,9
942.concoct_part_0,7
943.concoct_part_0,1
